Document Name,Prompt,Response
Commercial Court Acts,information from commercial court acts,On an application for leave to deliver interrogatories the particular interrogatories proposed to be delivered shall be submitted to the court and that court shall decide within seven days from the day of filing of the said application in deciding upon such application the court shall take into account any offer which may be made by the party sought to be interrogated to deliver particulars or to make
Commercial Court Acts,information from commercial court acts,Admissions or to produce documents relating to the matters in question or any of them and leave shall be given as to such only of the interrogatories submitted as the court shall consider necessary either for disposing fairly of the suitor for saving costs 3 in adjusting the costs of the suit inquiry shall at the instance of any party be made into the
Commercial Court Acts,information from commercial court acts,Propriety of exhibiting such interrogatories and if it is the opinion of the taxing officer or of the court either with or without an application for inquiry that such interrogatories have been exhibited unreasonably vexatious ly or at improper length the costs occasioned by the said interrogatories and the answers there to shall be paid in any event by the party in fault 164
Commercial Court Acts,information from commercial court acts,Interrogatories shall be in the form provided inform no 2 in appendix cto the code of civil procedure 19085 of 1908 with such variations as circumstances may require 5 where any party to a suit is a corporation or a body of persons whether incorporated or not empowered by law to sue or be sued whether in its own name or in the name of any officer of other
Commercial Court Acts,information from commercial court acts,Person any opposite party may apply for an order allowing him to deliver interrogatories to any member or officer of such corporation or body and an order may be made accordingly 6 any objection to answering any interrogatory on the ground that it is scandalous or irrelevant or not exhibited bona fide for the purpose of the suit or that the matters inquired into are not sufficiently
Commercial Court Acts,information from commercial court acts,Material at that stage or on the ground of privilege or any other ground may be taken in the affidavit in answer 7 any interrogatories may be set aside on the ground that they have been exhibited unreasonably or vexatious ly or struck out on the ground that they are prolix oppressive unnecessary or scandalous and any application for this purpose may be made within seven days after service of the interrogatories
Commercial Court Acts,information from commercial court acts,8 interrogatories shall be answered by affidavit to be filed within ten days or within such other time as the court may allow 9 an affidavit in answer to interrogatories shall be in the form provided inform no 3 in appendix cto the code of civil procedure 19085 of 1908 with such variations as circumstances may require 10 no exceptions shall be taken to any affidavit in answer but the su
Commercial Court Acts,information from commercial court acts,Fficiency or otherwise of any such affidavit objected to as insufficient shall be determined by the court 11 where any person interrogated omits to answer or answers insufficiently the party interrogating may apply to the court for an order requiring him to answer or to answer further as the case may be and an order may be made requiring him to answer or to answer further either affidavit or by viva voce
Commercial Court Acts,information from commercial court acts,Examination as the court may direct 3 inspection 1 all parties shall complete inspection of all documents disclosed within thirty days of the date of filing of the written statement or written statement to the counterclaim whichever is later the court may extend this time limit upon application at its discretion but not beyond thirty days in any event 2
Commercial Court Acts,information from commercial court acts,Any party to the proceedings may seek directions from the court at any stage of the proceedings for inspection or production of documents by the other party of which inspection has been refused by such party or documents have not been produced despite issuance of a notice to produce 3 order in such application shall be disposed of within thirty days of filing such application
Commercial Court Acts,information from commercial court acts,Including filing replies and rejoinders if permitted by court and hearing 4 if the above application is allowed inspection and copies thereof shall be furnished to the party seeking it within five days of such order 5 no party shall be permitted to rely on a document which it had failed to disclose or of which inspection has not been given save and except with leave of court 6
Commercial Court Acts,information from commercial court acts,The court may impose exemplary costs against a defaulting party who wilfully or negligently failed to disclose all documents pertaining to a suit or essential for a decision therein and which are in their power possession control or custody or where a court holds that inspection or copies of any documents had been wrongfully or unreasonably withheld or refused 4 admission and denial of documents 1
Commercial Court Acts,information from commercial court acts,Each party shall submit a statement of admissions or denials of all documents disclosed and of which inspection has been completed within fifteen days of the completion of inspection or any later date as fixed by the court 2 the statement of admissions and denials shall set out explicitly whether such party was admitting or denying a correctness of contents of a document b existence of a document 17 c
Commercial Court Acts,information from commercial court acts,Execution of a document d issuance or receipt of a document e custody of a document explanation a statement of admission or denial of the existence of a document made in accordance with subrule 2 b shall include the admission or denial of the contents of a document 3 each party shall set out reasons for denying a document under any of the above grounds and bare
Commercial Court Acts,information from commercial court acts,And unsupported denials shall not be deemed to be denials of a document and proof of such documents may then be dispensed with at the discretion of the court 4 any party may however submit bare denials for third party documents of which the party denying does not have any personal knowledge of and to which the party denying is not a party to in any manner whatsoever 5 an affidavit in support of the state
Commercial Court Acts,information from commercial court acts,Ment of admissions and denials shall be filed confirming the correctness of the contents of the statement 6 in the event that the court holds that any party has unduly refused to admit a document under any of the above criteria costs including exemplary costs for deciding on admissibility of a document may be imposed by the court on such party 7
Commercial Court Acts,information from commercial court acts,The court may pass orders with respect to admitted documents including for waiver of further proof thereon or rejection of any documents 5 production of documents 1 any party to a proceeding may seek or the court may order at anytime during the pendency of any suit production by any party or person of such documents in the possession or power of such party or person relating to any matter in question in such suit
Commercial Court Acts,information from commercial court acts,2 notice to produce such document shall be issued in the form provided inform no 7 in appendix cto the code of civil procedure 19085 of 19083 any party or person to whom such notice to produce is issued shall be given not less than seven days and not more than fifteen days to produce such document or to answer to their inability to produce such document 4
Commercial Court Acts,information from commercial court acts,The court may draw an adverse inference against a party refusing to produce such document after issuance of a notice to produce and where sufficient reasons for such nonproduction are not given and order costs 6 electronic records 1 in case of disclosures and inspection of electronic records as defined in the information technology act 200021 of 2000 f urn ishing of printouts shall be sufficient comp
Commercial Court Acts,information from commercial court acts,Liance of the above provisions 2 at the discretion of the parties or where required when parties wish to rely on audio or video content copies of electronic records may be furnished in electronic form either in addition to or in lieu of printouts 3 where electronic records form part of documents disclosed the declaration on oath to be filed by a party shall specify a
Commercial Court Acts,information from commercial court acts,The parties to such electronic record b the manner in which such electronic record was produced and by whom c the dates and time of preparation or storage or issuance or receipt of each such electronic record d the source of such electronic record and dateandtime when the electronic record was printed ein case of email ids details of ownership custody and access to such email idsf
Commercial Court Acts,information from commercial court acts,In case of documents stored on a computer or computer resource including on external servers or cloud details of ownership custody and access to such data on the computer or computer resource 18 g h whether the computer or computer resource used for preparing or receiving or storing such document or data was functioning properly or in case of malfunction that such malfunction did not
Commercial Court Acts,information from commercial court acts,Affect the contents of the document stored i that the printout or copy furnished was taken from the original computer or computer resource 4 the parties relying on printouts or copy in electronic form of any electronic records shall not be required to give inspection of electronic records provided a declaration is made by such party that each such copy which has been produced has been made from
Commercial Court Acts,information from commercial court acts,The original electronic record 5 the court may give directions for admissibility of electronic records at any stage of the proceedings 6 any party may seek directions from the court and the court may of its motion issue directions for submission of further proof of any electronic record including metadata or logs before admission of such electronic record 7
Commercial Court Acts,information from commercial court acts,Certain provisions of the code of civil procedure 1908 not to apply for avoidance of doubt it is hereby clarified that order xiii rule 1 orderviirule 14 and order viii rule 1 a of the code of civil procedure 19085 of 1908 shall not apply to suits or applications before the commercial divisions of hig 5 insertion of new order xiii A after order xiii of the code the following order shall be inserted namely as
Commercial Court Acts,information from commercial court acts,Ummaryjudgment 1 scope of and classes of suits to which this order applies 1 this order sets out the procedure by which courts may decide a claim pertaining to any commercial dispute without recording oral evidence 2 for the purposes of this order the word a part of a claim b any particular question on which the claim whether in whole or in part depends orca counterclaim as the case may be 3
Commercial Court Acts,information from commercial court acts,Notwithstanding anything to the contrary an application for summary judgment under this order shall not be made in a suit in respect of any commercial dispute that is originally filed as a summary suit under order xxxvii 2 stage for application for summary judgment an applicant may apply for summary judgment at any time after summons has been served on the defendant
Commercial Court Acts,information from commercial court acts,Provided that no application for summary judgment may be made by such applicant after the court has framed the issues in respect of the suit 3 grounds for summary judgment the court may give a summary judgment against a plaintiff or defendant on a claim if it considers that a the plaintiff has no real prospect of succeeding on the claim or the defendant has no real
Commercial Court Acts,information from commercial court acts,Prospect of successfully defending the claim as the case may be an db there is no other compelling reason why the claim should not be disposed of before recording of oral evidence 4 procedure 1 an application for summary judgment to a court shall in addition to any other matters the applicant may deem relevant include the matters set forth in subclauses at of mentioned here under 19 a
Commercial Court Acts,information from commercial court acts,The application must contain a statement that it is an application for summary judgment made under this order b the application must precisely disclose all material facts and identify the point of law if any c in the event the applicant seeks to rely upon any documentary evidence the applicant must i include such documentary evidence in its application and ii
Commercial Court Acts,information from commercial court acts,Identify the relevant content of such documentary evidence on which the applicant relies d the application must state the reason why there are no real prospects of succeeding on the claim or defending the claim as the case may be e the application must state what relief the applicant is seeking and briefly state the grounds for seeking such relief 2
Commercial Court Acts,information from commercial court acts,Where a hearing for summary judgment is fixed the respondent must be given at notice of a the date fixed for the hearing and b the claim that is proposed to be decided by the court at such hearing 3 the respondent may within thirty days of the receipt of notice of application of summary judgment or notice of hearing whichever is earlier file a reply addressing the matters set forth in clause sato
Commercial Court Acts,information from commercial court acts,F mentioned hereunder in addition to any other matters that the respondent may deem relevant at he reply must precisely i disclose all material facts ii identify the point of law if any and iii state the reasons why the relief sought by the applicant should not be granted bin the event the respondent seeks to rely upon any documentary evidence in its reply the respondent Must I
Commercial Court Acts,information from commercial court acts,Include such documentary evidence in its reply and ii identify the relevant content of such documentary evidence on which the respondent relies cthe reply must state the reason why there are real prospects of succeeding on the claim or defending the claim as the case may be d the reply must concisely state the issues that should be framed for trial e
Commercial Court Acts,information from commercial court acts,The reply must identify what further evidence shall be brought on record at trial that could not be brought on record at the stage of summary judgment and fthe reply must state why in light of the evidence or material on record if any the court should not proceed to summary judgment 5 evidence for hearing of summary judgment 1 notwithstanding anything in this order if the
Commercial Court Acts,information from commercial court acts,Respondent in an application for summary judgment wishes to rely on additional documentary evidence during the hearing the respondent must a file such documentary evidence and b serve copies of such documentary evidence on every other party to the application at least fifteen days prior to the date of the hearing 2
Commercial Court Acts,information from commercial court acts,Notwithstanding anything in this order if the applicant for summary judgment wishes to rely on documentary eviden a file such documentary evidence in reply and 20 b serve a copy of such documentary evidence on the respondent at least five days prior to the date of the hearing 3 notwithstanding anything to the contrary sub rules 1 and 2 shall not require documentary evidence to be a
Commercial Court Acts,information from commercial court acts,Filed if such documentary evidence has already been filed orb served on a party on whom it has already been served 6 orders that may be made by court 1 on an application made under this order the court may make such orders that it may deem fit in its discretion including the following a judgment on the claim b conditional order in accordance with rule 7 mentioned here under c dismissing
Commercial Court Acts,information from commercial court acts,The application d dismissing part of the claim and a judgment on part of the claim that is not dismissed e striking out the pleadings whether in whole or in part orf further directions to proceed for case management under order xv a 2 where the court makes any of the orders as set forth in subrule 1 at of the court shall record its reasons for making such order 7
Commercial Court Acts,information from commercial court acts,Conditional order 1 where it appears to the court that it is possible that a claim or defence may succeed but it is improbable that it shall do so the court may make a conditional order as set forth in rule 61 b 2 where the court makes a conditional order it maya make it subject to all or any of the following conditions i require a party to deposit a sum of money in the court ii
Commercial Court Acts,information from commercial court acts,Require a party to take a specified step in relation to the claim or defence as the case may be iii require a party as the case may be to give such security or provide such surety for restitution of costs as the court deems fit and proper iv impose such other conditions including providing security for restitution of losses That
Commercial Court Acts,information from commercial court acts,Any party is likely to suffer during the pendency of the suit as the court may deem fit in its discretion and b specify the consequences of the failure to comply with the conditional order including passing a judgment against the party that have not complied with the conditional order 8 power to impose costs the court may make an order for payment of costs in an application for
Commercial Court Acts,information from commercial court acts,Summary judgment in accordance with the provisions of sections 35 and 6 omission of order xv order xv of the code shall be omitted 7 insertion of order xv a 7 after order xv of the code the following order shall be inserted namely a case management hearing 1 first case management hearing the court shall hold the first case management hearing not later than four weeks from the date of filing of
Commercial Court Acts,information from commercial court acts,Affidavit of admission or denial of documents by all parties to the suit 212 orders to be passed in a case management hearing in a case management hearing after hearing the parties and once it finds that there are issues of fact and law which require to be tried the court may pass an order a framing the issues between the parties in accordance with order xiv of the code of civil procedure 19085 of 1908
Commercial Court Acts,information from commercial court acts,After examining pleadings documents and documents produced before it and on examination conducted by the court under rule 2 of order x if required b listing witnesses to be examined by the parties c fixing the date by which affidavit of evidence to be filed by parties d fixing the date on which evidence of the witnesses of the parties to be recorded e
Commercial Court Acts,information from commercial court acts,Fixing the date by which written arguments are to be filed before the court by the parties f fixing the date on which oral arguments are to be heard by the court and g setting time limits for parties and their advocates to address oral arguments 3 time limit for the completion of a trial in fixing dates or setting time limits for the purposes of
Commercial Court Acts,information from commercial court acts,Rule 2 of this order the court shall ensure that the arguments are closed not later than six months from the date of the first case management hearing 4 recording of oral evidence on a day today basis the court shall as far as possible ensure that the recording of evidence shall be carried on on a day today basis until the cross examination of all the witnesses is complete 5 casemana
Commercial Court Acts,information from commercial court acts,Gement hearings during a trial the court may if necessary also hold case management hearings anytime during the trial to issue appropriate orders so as to ensure adherence by the parties to the dates fixed under rule 2 and facilitate speedy disposal of the suit 6 powers of the court in a case management hearing 1 in any case management hearing held under this order the court shall have the power to a
Commercial Court Acts,information from commercial court acts,Prior to the framing of issues hear and decide any pending application filed by the parties under order xiii ab direct parties to file compilations of documents or pleadings relevant and necessary for framing issues c extend or shorten the time for compliance with any practice direction or court order if it finds sufficient reason to do so d
Commercial Court Acts,information from commercial court acts,Adjourn or bring forward a hearing if it finds sufficient reason to do so e direct a party to attend the court for the purposes of examination under rule 2 of order xf consolidate proceedings g strike off the name of any witness or evidence that it deems irrelevant to the issues framed h direct a separate trial of any issue i decide the order in which issues are to be tried j
Commercial Court Acts,information from commercial court acts,Exclude an issue from consideration k dismiss or give judgment on a claim after a decision on a preliminary issue l direct that evidence be recorded by a commission where necessary in accordance with order xxvi m reject any affidavit of evidence filed by the parties for containing irrelevant inadmissible or argumentative material n strike o
Commercial Court Acts,information from commercial court acts,Ff any parts of the affidavit of evidence filed by the parties containing irrelevant inadmissible or argumentative material 22 o delegate the recording of evidence to such authority appointed by the court for this purpose p pass any order relating to the monitoring of recording the evidence by a commission or any other authority q order any party to file and exchange a costs budget r
Commercial Court Acts,information from commercial court acts,Issue directions or pass any order for the purpose of managing the case and furthering the overriding objective of ensuring the efficient disposal of the suit 2 when the court passes an order in exercise of its powers under this order it maya make it subject to conditions including a condition to pay a sum of money into court and b specify the consequence of failure to comply with the order or a condition
Commercial Court Acts,information from commercial court acts,3 while fixing the date for a case management hearing the court may direct that the parties also be present for such case management hearing if it is of the view that there is a possibility of settlement between the parties 7 adjournment of case management hearing 1 the court shall not adjourn the case management hearing for the sole reason that the advocate appearing on behalf of a party is not present
Commercial Court Acts,information from commercial court acts,Provided that an adjournment of the hearing is sought in advance by moving an application the court may adjourn the hearing to another date upon the payment of such costs as the court deems fit by the party moving such application 2 notwithstanding anything contained in this rule if the court is satisfied that there is a justified
Commercial Court Acts,information from commercial court acts,Reason for the absence of the advocate it may adjourn the hearing to another date upon such terms and conditions it deems fit 8 consequences of noncompliance with orders where any party fails to comply with the order of the court passed in a case management hearing the court shall have the power to a condone such noncompliance by payment of costs to the court b foreclose the non examination of witn
Commercial Court Acts,information from commercial court acts,Esses file written submissions address oral arguments or make further arguments in the trial as the case may be orc dismiss the plaint or allow the suit where such noncompliance is wilful repeated and the imposition of costs is not adequate to ens 8 amendment of order xviii in order xviii of the code in rule 2 forsubrules 3 a 3 b 3 c 3 d 3 eand 3 f
Commercial Court Acts,information from commercial court acts,The following shall be substituted namely 3 aa party shall within four weeks prior to commencing the oral arguments submit concisely and under distinct headings written arguments in support of his case to the court and such written arguments shall form part of the record 3 b the written arguments shall clearly indicate the provisions of the laws being cited in support
Commercial Court Acts,information from commercial court acts,Of the arguments and the citations of judgments being relied upon by the party and include copies of such judgments being relied upon by the party 3 c a copy of such written arguments shall be furnished simultaneously to the opposite party 3 d the court may if it deems fit after the conclusion of arguments permit the parties to file
Commercial Court Acts,information from commercial court acts,Revised written arguments within a period of not more than one week after the date of conclusion of arguments 3 eno adjournment shall be granted for the purpose of filing the written arguments unless the court for reasons to be recorded in writing considers it necessary to grant such adjournment 3 fit shall be open for the court to limit the time for oral submissions having regard to the nature and comp 239
Commercial Court Acts,information from commercial court acts,Amendment of order xviii in order xviii of the code in rule 4 aftersubrule 1 the following sub rules shall be inserted namely 1 at he affidavits of evidence of all witnesses whose evidence is proposed to be led by a party shall be filed simultaneously by that party at the time directed in the first case management hearing 1 b
Commercial Court Acts,information from commercial court acts,A party shall not lead additional evidence by the affidavit of any witness including of a witness who has already filed an affidavit unless sufficient cause is made out in an application for that purpose and an order giving reasons permitting such additional affidavit is passed by the court 1 ca party shall however have the right to withdraw any of the affidavits so filed at anytime pr
Commercial Court Acts,information from commercial court acts,I or to commencement of cross examination of that witness without any adverse inference being drawn based on such withdrawal provided that any other party shall be entitled to tender as evidence and rely upon any admission made in such withdrawn affidavit 10 amendment to order xix in order xix of the code after rule 3 the following rules shall be inserted namely 4 court may control evidence 1
Commercial Court Acts,information from commercial court acts,The court may by directions regulate the evidence as to issues on which it requires evidence and the manner in which such evidence may be placed before the court 2 the court may in its discretion and for reasons to be recorded in writing exclude evidence 5 red acting or rejecting evidence a court may in its discretion for reasons to be recorded in writing i
Commercial Court Acts,information from commercial court acts,Redactor order the redaction of such portions of the affidavit of examination in chief as do not in its view constitute evidence or ii return or reject an affidavit of examination in chief as not constituting admissible evidence 6 format and guidelines of affidavit of evidence an affidavit must comply with the form and requirements set forth below a
Commercial Court Acts,information from commercial court acts,Such affidavit should be confined to and should follow the chronological sequence of the dates and events that are relevant for proving any factor any other matter dealt with b where the court is of the view that an affidavit is a mere reproduction of the pleadings or may by order strike out the affidavit or such parts of the affidavit as it deems fit and proper c
Commercial Court Acts,information from commercial court acts,Each paragraph of an affidavit should as far as possible be confined to a distinct portion of the subject d an affidavit shall state I which of are matters of information or belief and ii the source for any matters of information or belief e an affidavit should i have the pages numbered consecutively as a separate document or as one of several documents contained in a file ii
Commercial Court Acts,information from commercial court acts,Be divided into numbered paragraphs iii have all numbers including dates expressed in figures and 24 iv if any of the documents referred to in the body of the affidavit are annexed to the affidavit or any other pleadings give the annexures and page numbers of such documents that 11 amendment of order xx in order xx of the code for rule 1 the following rule shall be substituted namely 1 the 1
Commercial Court Acts,information from commercial court acts,Commercial court commercial appellate court commercial division or commercial appellate division as the case may be shall within ninety days of the conclusion of arguments pronounce judgment and copies Thereof shall be issued to all the parties to the dispute 2 12 after appendix h the following appendix shall be inserted namely i statement of truth under first schedule order vi rule 15 aandorderxi
Commercial Court Acts,information from commercial court acts,Rule 3 it he deponent do hereby solemnly affirm and declare as under 1 i am the party in the above suit and competent to swear this affidavit 2 I am sufficiently conversant with the facts of the case and have also examined all relevant documents and records in relation there to 3 I say that the statements made in paragraphs are true to my knowledge and statements made in
Commercial Court Acts,information from commercial court acts,Paragraphs are based on information received which i believe to be correct and statements made in paragraphs are based on legal advice 4 i say that there is no false statement or concealment of any material fact document or record and i have included information that is according to me relevant for the present suit 5 i say that all documents in my power possession control or custody pertaining to the facts and
Commercial Court Acts,information from commercial court acts,Circumstances of the proceedings initiated by me have been disclosed and copies thereof annexed with the plaint and that i do not have any other documents in my power possession control or custody 6 i say that the above mentioned pleading comprises of a total of pages each of which has been duly signed by me 7 i state that the annexures here to are true copies of the documents referred to and relied upon by me
Commercial Court Acts,information from commercial court acts,8 i say that i am aware that for any false statement or concealment i shall be liable for action taken against me under the law for the time being in force place date deponent verification knowledge verified at place on this date 1 commercialcourt 5 20182 insbys 18 ibidwef 23102015
Commercial Court Rules,information from commercial court rules,1 indiana commercial court rules updated effective july 1 2024 rule 1 introduction and scope 1 rule 2 cases eligible for the commercial court docket 2 rule 3 cases not eligible for the commercial court docket 4
Commercial Court Rules,information from commercial court rules,Rule 4 assignment of case to the commercial court docket 5 rule 5 venue for jury trial s 10 rule 6 commercial court appointed neutrals 10 rule 7 discovery
Commercial Court Rules,information from commercial court rules,Partnership limited partnership limited liability company limited liability partnership professional association professional corporation business trust joint venture unincorporated association sole proprietorship or any other legal entity recognized by any state and doing business in the state of indiana including entities under ic 231812 commercial court commercial court means a court with a specialized commercial
Commercial Court Rules,information from commercial court rules,Court docket as described organized and administered under these commercial court rules and any applicable indiana supreme court order 3 rule rule as used in these commercial court rules means any rule promulgated by the indiana supreme court or by administrative district rule or local rule commentary commercial courts employ and encourage electronic information technologies such as e 2
Commercial Court Rules,information from commercial court rules,Discovery telephone video conferencing and also employ early alternative dispute resolution interventions as consistent with indiana law 2 rule 2 cases eligible for the commercial court docket a cases eligible any civil case is eligible for assignment to the commercial court docket under commercial court rule 4 if the principal claims or defenses relate to 1 x 12 x 2 J 2 wje 2 xe 2 exje 2
Commercial Court Rules,information from commercial court rules,11 x 2 jx 2 exej 2 xuje 11 a breach of a contractual or indemnity obligation between business entities relating to an 2 x 212 ujx 12 any other dispute between business entities between a business entity and an individual conducting business activities or between individuals conducting business activities that concern their contracts transactions or relationships including 3 a
Commercial Court Rules,information from commercial court rules,Transactions governed by the uniform commercial code except for claims described in 11 xj x erb the purchase sale lease or license of patents trademarks service marks copyright sex xex x 2 eejuxuxeca security interest in patents trademarks service marks copyrights trade secrets or x 2 eejuxuxed
Commercial Court Rules,information from commercial court rules,The infringement or misappropriation of patents trademarks service marks copyright sex xex x 2 eejuxuxee the purchase or sale of a business entity whether by merger acquisition of shares or ex ex fj 2 e xxe 2 x jeg non consumer bank or brokerage accounts including loan deposit cash management 2 e 12 ej 2 eh
Commercial Court Rules,information from commercial court rules,Surety bond sand suretyship or guarantee obligations or individuals given in connection ej 2 ex 2 e 2 i the purchase sale lease or license of a security interest in commercial property Xe 2 x 2 e 2 uxuxuxexxuxuxejxxxxe 2 ux k cases with a gravamen substantially similar to those listed in subsections a i and are not in eligible under commercial court rule 4 b
Commercial Court Rules,information from commercial court rules,Eligibility based on consent a case is eligible for transfer to the commercial court docket if 1 uxeex 2 xee 11 xjxee 22 a judge of a commercial court accepts jurisdiction over the case c eligibility of class actions and derivative actions a class action or derivative action is eligible for assignment to the commercial court docket if it meets the requirements of subsection aor subsection bd
Commercial Court Rules,information from commercial court rules,Eligibility not limited by nature of trial or relief requested both cases tri able to a jury and cases tri able to the bench including cases seeking damages an injunction a temporary restraining order or a declaratory judgment are eligible for assignment to the commercial court docket if they meet the requirements of subsection aor subsection b 4 rule 3 cases not eligible for the commercial court docket
Commercial Court Rules,information from commercial court rules,A civil case is not eligible for assignment to the commercial court docket under commercial court rule 4 ifa 2 exee 2 eeuuxj 2 x 11 xjxeqxqorb the gravamen of the case relates to any of the following 1 x 2 jxjxx 2 je 1 eex 2 consumer claims against a business entity or an insurer of a business entity including a
Commercial Court Rules,information from commercial court rules,A promissory note not primarily associated with purchasing an interest in a jg ux 2 je 12 h legal fees incurred for family or household purposes such as probate divorce jeju ux e 122 xexjeoriex 1 x 2 j 1 xe 4 a dispute involving wages or hours occupational health or safety workers compensation unemployment compensation or other employment
Commercial Court Rules,information from commercial court rules,X 212 ee 217 any matter subject to the exclusive jurisdiction of a city court a town court or the small 12 jxe 1821 eexxwjxex 21 xjxex 2 jxex 19 any criminal matter other than criminal contempt in connection with a matter pending on the commercial court docket
Commercial Court Rules,information from commercial court rules,This rule does not limit the ability of the parties to agree to assignment to the commercial court of other cases consistent with the purposes of the commercial court rule 4 assignment of case to the commercial court docket a applicability this rule supersedes the case assignment requirements of any applicable rule b request for assignment 1 parties that may request assignment any party may request to have an eligible case assigned to the commercial court docket
Commercial Court Rules,information from commercial court rules,Ux 2 xvuxuii any right to contest at anytime during the proceedings or on appeal the cases eligibility for assignment to the commercial court docket Ex 22 e 2 euxe 2 e 22 binding and irrevocable a party may not withdraw an identifying notice unless all parties consent to withdrawal of the identifying notice if all other parties so consent the clerk of
Commercial Court Rules,information from commercial court rules,Thirty 30 days after appearing in the case be 21 je 2 uxee 1 j the clerk of the court must transfer and assign the case to a noncommercial court docket in accordance with applicable rules including a case that has been provisionally assigned to the commercial court docket under commercial court rule 5 dexjeuxe 2 ej 222
Commercial Court Rules,information from commercial court rules,Irrevocable a party may not withdraw a refusal notice unless all other parties consent to withdrawal of the refusal notice if all other parties consent the clerk of the court must transfer and assign the case to a commercial court docket 7 jx 21 jeuxeee 1 je waives i any right to apply for a change of judge or county under trial rule 76 exceptasux 2 xvuxuii
Commercial Court Rules,information from commercial court rules,Any right to contest at anytime during the proceedings or on appeal the cases eligibility for assignment to the commercial court docket 3 22 ee 2 2 ex 2 e 212 ea 22 e A party consents to the assignment of an eligible case to the commercial je 22 x 2 222 e 212 ee 11 x court docket consent notice b waiver
Commercial Court Rules,information from commercial court rules,A party waives objection to the assignment of an eligible case to the commercial je 2 e 2 x 1 je 22 e xxi when each party either consents to assignment or waives objection to assignment the clerk of the court must transfer and assign the case to a commercial court docket ii a party that either consents to assignment or waives objection to assignment waives A
Commercial Court Rules,information from commercial court rules,Any right to apply for a change of judge or county under trial rule 76 ueux 2 xv ux ub any right to contest at anytime during the proceedings or on appeal the cases eligibility for assignment to the commercial court docket ex 22 exx a party s consent to assignment or waiver of objection to assignment is binding and irrevocable unless all other parties agree to permit ux ee j
Commercial Court Rules,information from commercial court rules,When all other parties consent the refusal notice will be deemed timely and the clerk of the court must transfer and assign the case to the noncommercial court docket of the commercial court judge in accordance with applicable rules d provisional and permanent assignment notice to the court 1 assignment before appearance u 222 xeuux 2 exuxea
Commercial Court Rules,information from commercial court rules,The clerk of the court must provisionally assign the case to the commercial courte 8 b 2 j 12 uxeuux 2 ux ex appearance either consent to assignment or waive objection to assignment the 212 ee 1 ux 12 e 2 c j 1 ex 1 jeex 2 xee 22 commercial court docket of the commercial court judge 2
Commercial Court Rules,information from commercial court rules,Objection to assignment the clerk must notify the court in which the case is pending that the transfer and assignment of the case to the commercial court docket ux 12 e 2 c j 1 ex 1 je 2 Jxeeu 2 Eej 22 e 2 eex 2 xx Ee commercial court docket 3 exception to notice
Commercial Court Rules,information from commercial court rules,Notice by the clerk of receipt of an identifying notice refusal notice or notice of assignment is not necessary if the case is already pending before a commercial court judge e termination of assignment if a commercial court judge determines at any time that a case is ineligible for assignment to a commercial court docket the judge must order the clerk of the court to transfer and assign the case to a noncommercial court docket in accordance with applicable rules the judges
Commercial Court Rules,information from commercial court rules,Determination is not subject to appeal f retention of jurisdiction for emergency matters the court to which an eligible case was originally assigned retains jurisdiction to hear and determine requests for temporary restraining orders and other emergency matters until the commercial court has assumed jurisdiction over the case g addition of parties after assignment 1 rights of new parties uxeexeuux 2 e whether as a result of across
Commercial Court Rules,information from commercial court rules,2 j 1 x 1 jeex 2 x 22 e 22 commercial court docket in accordance with applicable rules he uu 1 assignment after remand if a party appeals a case assigned to the commercial court docket and a court on appeal either orders a new trial or otherwise remands the case such that a further hearing and receipt of evidence are required to reconsider all or some of the issues heard d
Commercial Court Rules,information from commercial court rules,Uring the earlier trial the clerk of the court must provisionally assign the case on remand to the commercial court docket 2 filing refusal notice after remand a 2 uxe 1 j 2 exerox 212 eee the commercial court docket 3 e 2 juxe 1 j exx 12 xjxe 1 jeex 2 x 22 thecasetoanon
Commercial Court Rules,information from commercial court rules,Commercial court docket in accordance with applicable rules 4 e 2 j 2 uxe 1 jeexx 12 e 212 eee 11 x court docket becomes permanent commentary 1 a crucial feature of rule 4 is that any party can seek to have a case placed on the commercial court docket at anytime even after the case has been pending on a noncommercial court docket for an extended period of time
Commercial Court Rules,information from commercial court rules,Commercial court rule 4 b is an opt out provision the jee 2 uxe 11 xj xee commercial court docket unless another party timely objects to the assignment or the judge determines that the case is not eligible for the commercial court docket however transfer of a well underway proceeding is normally not contemplated 2 permitting any party to seek to have the case placed on the commercial court docket at any
Commercial Court Rules,information from commercial court rules,Time accommodates the case that is not initially eligible for assignment to the commercial court docket but subsequently becomes eligible as a result of across claim counterclaim third party complaint amendment or otherwise 3 commercial court rules 4 b 2 b 1 and 4 c 3 c 2 a reference trial rules 76 a c 6 which provide a limited change of venue and judge right for cause 104
Commercial Court Rules,information from commercial court rules,The provisions of commercial court rule 4 f concerning emergency matters are intended to operate in the same way as trial rule 79 o which provides emergencies nothing in this rule shall divest the original court and judge of jurisdiction to hear and determine emergency matters 2 e 112 x 2 j 2 uu 2 eu jue jurisdiction 5 commercial court rule 4 g accommodates a new party who is added to the litigation later as a
Commercial Court Rules,information from commercial court rules,Result of across claim counterclaim third party complaint amendment or otherwise 6 2 j 11 xjxspxeuux 2 ee 1 j 2 rp 22 uux 2 x 1 xu 22 ux 7 the provisions of commercial court rule 4 h 1 concerning assignment to the commercial court docket after remand are intended to operate in the same way as trial rule 76 c 3 Which
